city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Guanajuato,uberX,completed,2025-04-10T22:04:11.000Z,2025-04-10T22:11:24.000Z,20.983469,-101.28708,"Carr Cuota Guanajuato Silao 450, 36250 Guanajuato, GUA",2025-04-10T22:27:02.000Z,21.019508,-101.25878,"C. Mendizábal 6, Centro, 36000 Guanajuato, Gto., Mexico",4.12,Mexican Peso,79.97
Irapuato,uberX,completed,2025-03-14T16:13:22.000Z,2025-03-14T16:22:16.000Z,20.690565,-101.29368,"Calle Revolución & Calle 5 de Mayo, 36826 Ejido de Malvas, Guanajuato",2025-03-14T16:45:49.000Z,20.680424,-101.37915,"Plaza Cibeles, 36643 Irapuato, Gto., Mexico",10.89,Mexican Peso,149.92
Irapuato,uberX,completed,2025-02-23T16:53:30.000Z,2025-02-23T17:10:29.000Z,20.68865,-101.36808,,2025-02-23T17:29:04.000Z,20.69049,-101.29375,"Calle Revolución & Calle 5 de Mayo, 36826 Ejido de Malvas, Guanajuato",8.2,Mexican Peso,129.94
Irapuato,uberX,completed,2025-02-23T01:57:38.000Z,2025-02-23T02:00:51.000Z,20.6906,-101.29371,,2025-02-23T02:16:46.000Z,20.639141,-101.339966,"C. P.º San Joaquin 127, San Joaquín, 36595 Irapuato, Gto., Mexico",7.72,Mexican Peso,119.97
Irapuato,Moto,rider_canceled,2024-12-07T01:00:59.000Z,,20.677721,-101.34116,,,20.677721,-101.34116,"Plaza Cibeles, 36643 Irapuato, Gto., Mexico",0.0,Mexican Peso,0.0
Irapuato,Moto,rider_canceled,2024-12-07T00:50:22.000Z,,20.677721,-101.34116,"",,20.677721,-101.34116,"Plaza Cibeles, 36643 Irapuato, Gto., Mexico",0.0,Mexican Peso,0.0
Irapuato,uberX,completed,2024-11-16T16:36:34.000Z,2024-11-16T16:55:42.000Z,20.69055,-101.29369,"Calle Revolución & Calle 5 de Mayo, 36826 Ejido de Malvas, Guanajuato",2024-11-16T17:21:54.000Z,20.680525,-101.379135,"Plaza Cibeles, 36643 Irapuato, Gto., Mexico",10.94,Mexican Peso,142.72
Irapuato,uberX,completed,2024-10-08T02:46:38.000Z,2024-10-08T03:02:09.000Z,20.690458,-101.29489,"Calle Revolución & Calle 5 de Mayo, 36826 Ejido de Malvas, Guanajuato",2024-10-08T03:26:46.000Z,20.721611,-101.36553,"Circuito Estrella de Mar 397, 36823 Arandas, Guanajuato",11.65,Mexican Peso,148.68
Irapuato,uberX,rider_canceled,2024-08-24T18:29:41.000Z,,20.67787,-101.34371,,,20.67787,-101.34371,"Plaza Jacarandas, Col Santa Julia, 36667 Irapuato, Guanajuato",0.0,Mexican Peso,0.0
Tijuana,Wait&Save,rider_canceled,2024-07-23T01:12:20.000Z,,32.541107,-117.02516,,,32.541107,-117.02516,"Calle P. Vista Hermosa 284, Tijuana, 22510, Baja California",0.0,Mexican Peso,0.0
Tijuana,uberX,completed,2024-07-22T04:35:20.000Z,2024-07-22T04:52:07.000Z,32.531742,-117.1135,"Paseo Ensenada, Fracc Playas de Tijuana, 22504 Tijuana, Baja California",2024-07-22T04:58:50.000Z,32.533398,-117.09969,"Calle P. Vista Hermosa 284, Tijuana, 22510, Baja California",1.37,Mexican Peso,68.88
Tijuana,uberX,completed,2024-07-22T01:17:22.000Z,2024-07-22T01:24:37.000Z,32.53327,-117.09983,"Calle Vista Hermosa 250, 22510 Tijuana, Baja California",2024-07-22T01:32:31.000Z,32.53131,-117.11429,"Paseo Ensenada 502, Playas, Playas Coronado, 22505 Tijuana, B.C., 22505 Tijuana, Baja California Norte",2.96,Mexican Peso,49.02
Irapuato,uberX,completed,2024-07-16T21:57:11.000Z,2024-07-16T22:05:03.000Z,20.67638,-101.34249,,2024-07-16T22:20:11.000Z,20.690544,-101.295425,"Carretera Malvas-San Juan Temascatío & Calle Revolución, 36826 Ejido de Malvas, Guanajuato",4.41,Mexican Peso,79.89
Irapuato,uberX,driver_canceled,2024-07-16T21:53:16.000Z,2024-07-16T21:54:12.000Z,20.676344,-101.342514,,,20.676344,-101.342514,"Carretera Malvas-San Juan Temascatío & Calle Revolución, 36826 Ejido de Malvas, Guanajuato",0.03,Mexican Peso,0.0
Irapuato,uberX,completed,2024-07-12T00:45:36.000Z,2024-07-12T00:49:58.000Z,20.680416,-101.37895,,2024-07-12T01:15:06.000Z,20.691633,-101.296165,"Calle Terán & Carretera Malvas-San Juan Temascatío, 36826 Ejido de Malvas, Guanajuato",9.63,Mexican Peso,138.71
Irapuato,uberX,completed,2024-06-16T22:11:08.000Z,2024-06-16T22:19:56.000Z,20.676584,-101.34286,"Boulevard Díaz Ordaz 1138, 36513 Irapuato, Guanajuato",2024-06-16T22:36:57.000Z,20.690641,-101.29368,"Calle Revolución & Calle 5 de Mayo, 36826 Ejido de Malvas, Guanajuato",5.17,Mexican Peso,109.42
Irapuato,uberX,completed,2024-06-10T20:01:28.000Z,2024-06-10T20:19:47.000Z,20.690546,-101.29548,"Carretera Malvas-San Juan Temascatío & Calle Revolución, 36826 Ejido de Malvas, Guanajuato",2024-06-10T20:35:56.000Z,20.653126,-101.338806,"DIF 1, Colon 2da Secc, 36587 Irapuato, Gto., Mexico",7.49,Mexican Peso,95.89
Guanajuato,Uber Planet,completed,2024-03-21T22:29:40.000Z,2024-03-21T22:52:51.000Z,20.983452,-101.28679,"Carr Cuota Guanajuato Silao 450, 36250 Guanajuato, GUA",2024-03-21T23:10:13.000Z,21.015675,-101.253944,"Calle Calixto 35, 36000 Guanajuato, Guanajuato",4.51,Mexican Peso,130.06
Irapuato,uberX,completed,2024-03-08T20:06:42.000Z,2024-03-08T20:14:35.000Z,20.680473,-101.37892,,2024-03-08T20:38:13.000Z,20.690453,-101.29377,"5 de Mayo 25, 36826 Ejido de Malvas, Gto., Mexico",10.14,Mexican Peso,169.99
Irapuato,Uber Planet,completed,2024-02-17T21:29:45.000Z,2024-02-17T21:42:57.000Z,20.677818,-101.34351,"Blv Gustavo Diaz Ordaz 1333-H, Col Zona Centro Irapuato, 36500 Irapuato, Guanajuato",2024-02-17T22:03:22.000Z,20.690592,-101.29356,"5 de Mayo 25, 36826 Ejido de Malvas, Gto., Mexico",5.34,Mexican Peso,126.67
