city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Mexico City,uberX,completed,2025-03-20T07:12:01.000Z,2025-03-20T07:19:23.000Z,19.479118,-99.14025,,2025-03-20T07:44:52.000Z,19.604471,-99.05231,"Cerrada Tonatico 26, 55025 Ecatepec de Morelos, México",13.1,Mexican Peso,199.99
Queretaro,uberX,completed,2025-03-20T00:18:17.000Z,2025-03-20T00:22:21.000Z,20.578617,-100.359344,,2025-03-20T00:42:57.000Z,20.616064,-100.399734,"Blvd. Bernardo Quintana Arrioja 4115-B, San Pablo Tecnologico, 76010 Santiago de Querétaro, Qro., México",5.99,Mexican Peso,81.69
Leon,uberX,completed,2025-03-19T18:48:57.000Z,2025-03-19T18:59:21.000Z,21.080164,-101.66483,,2025-03-19T19:13:01.000Z,21.11873,-101.66229,"Blv Adolfo López Mateos 1601, Los Gavilanes, 37270 León, GUA",3.39,Mexican Peso,54.97
Leon,uberX,completed,2025-03-19T17:19:39.000Z,2025-03-19T17:21:23.000Z,21.121338,-101.661804,,2025-03-19T17:36:39.000Z,21.080206,-101.665054,"Av. Industria, San José 204, De Cemento, 37555 León de los Aldama, Gto., México",3.59,Mexican Peso,56.79
Mexico City,uberX,completed,2025-03-19T10:11:13.000Z,2025-03-19T10:17:19.000Z,19.604452,-99.05228,,2025-03-19T10:38:46.000Z,19.47799,-99.13978,"Eje Central Lázaro Cárdenas 4907, Gustavo A. Madero, 07760 Ciudad de México, Ciudad de México",12.26,Mexican Peso,169.9
Mexico City,uberX,completed,2025-02-10T10:15:00.000Z,2025-02-10T10:16:16.000Z,19.604456,-99.052284,,2025-02-10T10:40:04.000Z,19.47799,-99.13984,"Eje Central Lázaro Cárdenas 4907, Gustavo A. Madero, 07760 Ciudad de México, Ciudad de México",12.33,Mexican Peso,249.98
Mexico City,uberX,completed,2025-01-15T10:15:00.000Z,2025-01-15T10:16:12.000Z,19.604446,-99.05239,,2025-01-15T10:37:20.000Z,19.47819,-99.139824,"Eje Central Lázaro Cárdenas 4907, Gustavo A. Madero, 07760 Ciudad de México, Ciudad de México",12.26,Mexican Peso,249.98
Mexico City,uberX,completed,2024-12-18T10:15:00.000Z,2024-12-18T10:11:52.000Z,19.604479,-99.05232,,2024-12-18T10:31:27.000Z,19.479155,-99.139626,"Eje Central Lázaro Cárdenas 4907, Gustavo A. Madero, 07760 Ciudad de México, Ciudad de México",12.41,Mexican Peso,299.9
Mexico City,uberX,completed,2024-12-02T10:20:00.000Z,2024-12-02T10:20:18.000Z,19.604454,-99.05225,,2024-12-02T11:11:10.000Z,19.47826,-99.13998,Terminal Central del Norte del D.F. S.A. de C.V.,14.77,Mexican Peso,289.96
Mexico City,uberX,completed,2024-10-14T10:50:00.000Z,2024-10-14T10:46:17.000Z,19.604452,-99.05233,"Cerrada Tonatico 26, 55025 Ecatepec de Morelos, México",2024-10-14T11:16:04.000Z,19.47869,-99.13959,"Eje Central Lázaro Cárdenas 4907, Gustavo A. Madero, 07760 Ciudad de México, Ciudad de México",12.31,Mexican Peso,279.92
Mexico City,uberX,completed,2024-10-04T09:45:00.000Z,2024-10-04T09:39:25.000Z,19.60445,-99.05228,"Cerrada Tonatico 26, 55025 Ecatepec de Morelos, México",2024-10-04T09:52:36.000Z,19.539854,-99.05862,"Av Via Jose Maria Morelos 439, Pbo Santa Clara Coatitla Ecatepec de Morelos, 55540 Ecatepec de Morelos, México",5.34,Mexican Peso,186.2
Mexico City,uberX,completed,2020-04-25T15:20:32.000Z,2020-04-25T15:21:39.000Z,19.46424,-99.04943,,2020-04-25T15:40:59.000Z,19.39929,-99.13812,"Calle Aragón 95, Álamos, Benito Juárez",8.25,Mexican Peso,104.64
Mexico City,uberX,completed,2020-03-20T19:17:49.000Z,2020-03-20T19:21:32.000Z,19.3618045,-99.1218504,,2020-03-20T19:52:24.000Z,19.469296,-99.0541342,"B. de Mongolia 82, Bosques de Aragon, 57170 Nezahualcóyotl, Méx., México",10.57,Mexican Peso,146.28
Mexico City,uberX,completed,2020-03-20T18:19:30.000Z,2020-03-20T18:23:07.000Z,19.3993627,-99.138101,,2020-03-20T18:40:04.000Z,19.3614998,-99.1220646,"Calz. de la Viga 862, Héroes de Churubusco, Iztapalapa, 09090 Ciudad de México, CDMX, México",4.66,Mexican Peso,75.9
Mexico City,uberX,completed,2019-12-19T14:37:57.000Z,2019-12-19T14:43:58.000Z,19.487612,-99.0490114,,2019-12-19T15:46:40.000Z,19.4116058,-99.1674201,"Calle Ámsterdam 255, Hipódromo, 06100 Cuauhtémoc, Ciudad de México",12.18,Mexican Peso,225.94
Mexico City,uberX,completed,2019-12-13T16:28:58.000Z,2019-12-13T16:37:08.000Z,19.4874782,-99.0489946,,2019-12-13T17:24:56.000Z,19.3992776,-99.1380772,"Calle Aragón 95, Álamos, 03400 Benito Juárez, Ciudad de México",11.54,Mexican Peso,184.58
