city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
San Miguel de Allende,uberX,completed,2025-01-04T15:09:28.000Z,2025-01-04T15:12:23.000Z,20.914845,-100.74896,"Indio Triste 16, Zona Centro, 37730 San Miguel de Allende, Gto., Mexico",2025-01-04T15:21:09.000Z,20.924662,-100.759094,"Libramiento a Dolores 30, 37738 San Miguel de Allende, Guanajuato",1.23,Mexican Peso,68.7
San Miguel de Allende,uberX,completed,2024-12-23T06:36:58.000Z,2024-12-23T07:09:21.000Z,20.93668,-100.737366,,2024-12-23T07:23:16.000Z,20.914831,-100.748955,"Indio Triste 16, Zona Centro, 37730 San Miguel de Allende, Gto., Mexico",2.24,Mexican Peso,94.87
San Miguel de Allende,uberX,unfulfilled,2024-12-23T06:29:47.000Z,,20.936737,-100.73737,,,20.936737,-100.73737,"Indio Triste 16, Zona Centro, 37730 San Miguel de Allende, Gto., Mexico",0.0,,
San Miguel de Allende,uberX,unfulfilled,2024-12-23T06:23:23.000Z,,20.936737,-100.73737,,,20.936737,-100.73737,"Indio Triste 16, Zona Centro, 37730 San Miguel de Allende, Gto., Mexico",0.0,,
San Miguel de Allende,uberX,unfulfilled,2024-12-23T06:16:50.000Z,,20.936737,-100.73737,,,20.936737,-100.73737,"Indio Triste 16, Zona Centro, 37730 San Miguel de Allende, Gto., Mexico",0.0,,
San Miguel de Allende,uberX,completed,2024-12-23T02:10:10.000Z,2024-12-23T02:14:51.000Z,20.914833,-100.748985,,2024-12-23T02:27:44.000Z,20.93674,-100.73736,"Privada San Jorge & Privada Las Flores, 37727 San Luis Rey, Guanajuato",2.14,Mexican Peso,108.0
San Miguel de Allende,uberX,completed,2024-11-24T19:06:45.000Z,2024-11-24T19:13:17.000Z,20.908577,-100.72019,,2024-11-24T19:37:49.000Z,20.914917,-100.74886,"Indio Triste 16, Zona Centro, 37730 San Miguel de Allende, Gto., Mexico",2.73,Mexican Peso,107.35
San Miguel de Allende,uberX,completed,2024-11-24T17:33:24.000Z,2024-11-24T17:34:57.000Z,20.91483,-100.74894,,2024-11-24T17:54:35.000Z,20.908478,-100.72009,"Av 1° De Mayo 37, Fracc Ignacio Ramírez Ocampo, 37645 San Miguel de Allende, Guanajuato",2.77,Mexican Peso,105.07
San Miguel de Allende,uberX,completed,2024-11-23T00:46:42.000Z,2024-11-23T00:49:29.000Z,20.914906,-100.758835,,2024-11-23T00:54:59.000Z,20.914843,-100.74897,"Indio Triste 16, Zona Centro, 37730 San Miguel de Allende, Gto., Mexico",0.66,Mexican Peso,46.18
Celaya,uberX,completed,2024-10-07T00:42:30.000Z,2024-10-07T01:02:10.000Z,20.544228,-100.88301,"Avenida Puerta de Piedra & Paseo de Puerta Alta, 38115, Guanajuato",2024-10-07T01:25:41.000Z,20.513897,-100.80713,"Antonio Plaza 306, 38078 Celaya, Guanajuato",6.9,Mexican Peso,149.93
Celaya,uberX,completed,2024-10-06T21:59:59.000Z,2024-10-06T22:02:03.000Z,20.518867,-100.83581,,2024-10-06T22:37:38.000Z,20.529713,-100.84721,"Celaya, 38024 Celaya, Guanajuato",9.1,Mexican Peso,178.5
Celaya,uberX,completed,2024-10-06T19:27:38.000Z,2024-10-06T19:31:36.000Z,20.51963,-100.83955,,2024-10-06T20:07:25.000Z,20.52042,-100.83516,"Bernini loc 14 Esq Prol Hidalgo 100, 38044 Celaya, GUA",10.15,Mexican Peso,198.56
Salamanca,uberX,completed,2024-10-05T13:19:19.000Z,2024-10-05T13:28:35.000Z,20.54306,-101.20252,"Calle Profesor Andrés Ortega y Delgado 109, 36786 Salamanca, Guanajuato",2024-10-05T13:38:43.000Z,20.57929,-101.20271,"Prol Tampico 904, Col Bellavista Salamanca, 36730 Salamanca, Guanajuato",3.48,Mexican Peso,89.92
Salamanca,uberX,completed,2024-09-20T03:16:23.000Z,2024-09-20T03:26:58.000Z,20.57851,-101.20109,,2024-09-20T03:38:32.000Z,20.54318,-101.2025,"Prof Andrés Ortega y Delgado 105, Villa Petrolera, 36786 Salamanca, Gto., Mexico",3.03,Mexican Peso,99.95
Salamanca,uberX,completed,2024-09-06T01:49:45.000Z,2024-09-06T02:01:23.000Z,20.596964,-101.20725,,2024-09-06T02:24:13.000Z,20.54325,-101.20251,"Prof Andrés Ortega y Delgado 105, Villa Petrolera, 36786 Salamanca, Gto., Mexico",5.09,Mexican Peso,99.92
Salamanca,uberX,completed,2024-08-23T16:31:31.000Z,2024-08-23T16:44:36.000Z,20.597385,-101.206955,"Circuito Cedro del Himalaya & Privada Circuito Cedro del Himalaya, 36723 Cipreses, Guanajuato",2024-08-23T17:02:15.000Z,20.543344,-101.204544,"Villa Petrolera, Salamanca, Gto., Mexico",8.33,Mexican Peso,197.92
Salamanca,uberX,rider_canceled,2024-08-23T09:03:24.000Z,,20.570108,-101.191765,"",,20.570108,-101.191765,"Villa Petrolera, Salamanca, Gto., Mexico",0.0,Mexican Peso,0.0
