city,product_type,status,request_time,begin_trip_time,begintrip_lat,begintrip_lng,begintrip_address,dropoff_time,dropoff_lat,dropoff_lng,dropoff_address,distance,fare_currency,fare_amount
Irapuato,uberX,rider_canceled,2025-05-02T03:04:20.000Z,,20.680447,-101.37897,"",,20.680447,-101.37897,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",0.0,Mexican Peso,0.0
Irapuato,uberX,completed,2025-05-01T22:02:57.000Z,2025-05-01T22:16:08.000Z,20.689793,-101.36985,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",2025-05-01T22:26:31.000Z,20.680414,-101.37894,"Plaza Cibeles, 36643 Irapuato, Gto., México",1.42,Mexican Peso,39.97
Irapuato,uberX,completed,2025-04-30T21:16:46.000Z,2025-04-30T21:25:27.000Z,20.68974,-101.36988,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",2025-04-30T21:36:50.000Z,20.672796,-101.36351,"Calle Oaxaca 1710, 36520 Irapuato, Guanajuato",1.9,Mexican Peso,49.97
Irapuato,uberX,completed,2025-04-28T14:31:38.000Z,2025-04-28T14:35:09.000Z,20.68979,-101.36987,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",2025-04-28T14:49:28.000Z,20.67682,-101.341194,"Av 1 de Mayo 436, 36513 Irapuato, GUA",2.59,Mexican Peso,69.99
Irapuato,uberX,completed,2025-04-27T20:38:09.000Z,2025-04-27T20:48:04.000Z,20.689842,-101.36986,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",2025-04-27T21:12:10.000Z,20.644749,-101.33299,"Cto laurel 886, Residencial Floresta, 36595 Irapuato, Gto., México",5.66,Mexican Peso,119.98
Irapuato,uberX,completed,2025-04-26T01:11:45.000Z,2025-04-26T01:17:33.000Z,20.680344,-101.378914,"Plaza Cibeles, 36643 Irapuato, Gto., México",2025-04-26T01:31:53.000Z,20.68978,-101.36985,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",1.91,Mexican Peso,49.98
Irapuato,uberX,completed,2025-04-25T22:17:43.000Z,2025-04-25T22:29:37.000Z,20.68983,-101.36985,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",2025-04-25T22:35:36.000Z,20.68206,-101.37742,"Av Manuel Gómez Morin 3000, 36640 Irapuato, Guanajuato",1.16,Mexican Peso,39.9
Irapuato,uberX,completed,2025-04-24T03:22:36.000Z,2025-04-24T03:28:52.000Z,20.671717,-101.37138,"Arboledas 1200, Col San Miguelito, 36525 Irapuato, GT",2025-04-24T03:37:51.000Z,20.689892,-101.36987,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",1.51,Mexican Peso,49.9
Irapuato,uberX,completed,2025-04-24T01:13:40.000Z,2025-04-24T01:17:44.000Z,20.689766,-101.3699,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",2025-04-24T01:30:29.000Z,20.66526,-101.37327,"Rafael Abascal, Benito Juárez I, 36557 Irapuato, Gto., México",2.18,Mexican Peso,59.99
Irapuato,uberX,completed,2025-04-22T22:33:08.000Z,2025-04-22T22:42:26.000Z,20.671751,-101.37138,"Arboledas 1200, Col San Miguelito, 36525 Irapuato, GT",2025-04-22T22:54:43.000Z,20.689882,-101.36988,"Calle Heriberto Jara 1741B, 36649 Irapuato, Guanajuato",1.62,Mexican Peso,49.99
